"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"136",443558,"Nelson Cruz","995","13.7","0.415","0.385","0.350","0.800","0.507","0.546","0.425","56","135","93.6","12.7","2244","89.7","89.20","0","136","0","-0.5","5.95","106","151","120","146","310","329","295"
"239",605137,"Josh Bell","1354","17.7","0.400","0.430","0.332","0.830","0.505","0.476","0.382","94","235","93.6","11.1","2162","88.2","87.83","0","239","0","-0.4","5.97","115","154","120","150","299","325","301"
"123",660271,"Shohei Ohtani","757","16.2","0.417","0.317","0.354","0.733","0.475","0.471","0.419","50","120","93.5","2.3","2221","87.6","87.03","0","123","0","-0.6","5.87","116","149","121","150","300","328","307"
"195",660162,"Yoan Moncada","1180","16.5","0.430","0.316","0.387","0.746","0.495","0.494","0.415","83","193","93.4","11.7","2148","88.2","88.01","0","195","0","-0.2","6.04","112","149","117","143","296","322","299"
"33",543105,"Alex Dickerson","184","17.9","0.424","0.364","0.387","0.788","0.509","0.460","0.392","14","33","93.2","9.6","2244","89.2","88.60","0","33","0","-0.6","5.78","116","152","123","151","296","328","308"
"10",543309,"Kyle Higashioka","66","15.2","0.333","0.222","0.300","0.556","0.337","0.358","0.270","3","9","93.2","27.7","2323","89.5","88.91","0","10","0","-0.6","5.83","109","151","116","145","300","318","286"
"191",656941,"Kyle Schwarber","1293","14.8","0.333","0.344","0.259","0.677","0.413","0.468","0.388","62","186","93.1","14.8","2259","89.4","89.07","0","191","0","-0.3","5.98","119","162","121","152","296","326","305"
"176",614177,"Franmil Reyes","1021","17.2","0.349","0.424","0.247","0.773","0.458","0.504","0.388","60","172","93.0","11.0","2293","88.7","88.21","0","176","0","-0.5","5.94","109","152","120","147","310","330","301"
"162",596142,"Gary Sanchez","1018","15.9","0.379","0.484","0.273","0.863","0.515","0.545","0.388","61","161","93.0","20.9","2281","88.7","88.25","0","162","0","-0.5","5.94","107","153","121","147","307","331","298"
"197",518626,"Josh Donaldson","1347","14.6","0.362","0.327","0.308","0.689","0.440","0.462","0.379","71","196","92.8","14.1","2268","88.8","88.44","0","197","0","-0.4","5.94","109","151","118","146","311","328","300"
"7",453064,"Troy Tulowitzki","61","11.5","0.286","0.571","0.167","0.857","0.468","0.339","0.292","2","7","92.8","17.6","2231","87.7","86.70","0","7","0","-1.0","5.67","106","156","121","148","305","330","284"
"244",656305,"Matt Chapman","1517","16.1","0.339","0.335","0.280","0.674","0.421","0.418","0.340","82","242","92.8","13.6","2311","87.8","87.22","0","244","0","-0.6","5.87","108","151","119","146","304","325","295"
"257",646240,"Rafael Devers","1256","20.5","0.392","0.247","0.361","0.639","0.436","0.421","0.368","100","255","92.7","8.3","2204","88.0","87.55","0","257","0","-0.4","5.99","113","149","117","150","286","325","308"
"232",467793,"Carlos Santana","1427","16.3","0.358","0.306","0.304","0.664","0.431","0.413","0.342","83","232","92.6","9.0","2179","89.1","88.77","0","232","0","-0.3","5.98","112","158","126","148","294","323","299"
"44",669374,"Keston Hiura","274","16.1","0.409","0.364","0.333","0.773","0.499","0.549","0.439","18","44","92.6","14.5","2308","89.0","88.73","0","44","0","-0.3","5.98","107","152","120","147","310","326","290"
"1",600968,"Randy Rosario","4","25.0","0.000","0.000","0.000","0.000","0.000","0.119","0.110","0","1","92.6","-27.0","2314","89.3","88.91","0","1","0","-0.4","5.97","121","148","111","152","257","304","284"
"54",605170,"Victor Caratini","353","15.3","0.407","0.241","0.385","0.648","0.449","0.434","0.405","22","54","92.6","5.9","2239","91.1","90.93","0","54","0","-0.2","6.02","119","152","117","149","293","322","306"
"51",641432,"Willie Calhoun","248","20.6","0.412","0.333","0.362","0.745","0.489","0.428","0.391","21","51","92.5","14.2","2224","87.7","87.30","0","51","0","-0.4","5.97","115","149","125","148","298","329","299"
"30",605196,"Kevin Cron","215","14.0","0.345","0.552","0.231","0.897","0.496","0.533","0.389","10","29","92.5","18.2","2289","91.8","91.41","0","30","0","-0.4","5.93","111","150","122","145","315","330","303"
"18",645801,"Mike Ford","155","11.6","0.278","0.222","0.235","0.500","0.329","0.516","0.487","5","18","92.5","16.7","2222","90.4","90.01","0","18","0","-0.4","6.00","121","154","122","151","296","320","290"
"2",642397,"Gregory Soto","5","40.0","1.000","0.000","1.000","1.000","0.880","0.575","0.615","2","2","92.5","13.5","1999","96.1","94.96","0","2","0","-1.1","6.20","121","147","108","147","279","301","296"
"226",542303,"Marcell Ozuna","1320","17.1","0.338","0.333","0.272","0.671","0.422","0.459","0.368","76","225","92.4","14.2","2284","89.0","88.81","0","226","0","-0.2","6.09","106","152","119","147","307","328","302"
"66",593934,"Miguel Sano","605","10.9","0.385","0.615","0.255","1.000","0.564","0.507","0.350","25","65","92.4","17.9","2215","87.8","87.33","0","66","0","-0.5","5.97","110","153","120","146","306","327","297"
"64",455104,"Chris Iannetta","452","14.2","0.413","0.365","0.356","0.778","0.493","0.495","0.411","26","63","92.3","10.4","2270","86.8","86.69","0","64","0","-0.1","5.96","107","151","118","146","311","332","300"
"165",435062,"Howie Kendrick","781","21.1","0.394","0.300","0.333","0.694","0.446","0.478","0.395","63","160","92.3","10.2","2261","88.6","88.40","0","165","0","-0.2","6.05","108","150","115","147","306","320","295"
"241",547989,"Jose Abreu","1306","18.5","0.350","0.325","0.288","0.675","0.424","0.453","0.357","83","237","92.3","12.8","2239","88.8","88.52","0","241","0","-0.3","6.03","107","150","118","146","304","328","296"
"13",518516,"Madison Bumgarner","140","9.3","0.385","0.231","0.333","0.615","0.427","0.418","0.348","5","13","92.2","18.9","2186","88.5","88.26","0","13","0","-0.2","5.99","109","154","121","146","305","322","297"
"2",502239,"Trevor Cahill","10","20.0","0.500","0.000","0.500","0.500","0.440","0.345","0.309","1","2","92.2","26.5","2090","86.8","87.24","0","2","0","0.4","6.39","120","152","110","152","288","320","262"
"88",488771,"Jason Castro","569","15.5","0.318","0.341","0.250","0.659","0.410","0.512","0.380","28","88","92.2","16.9","2229","89.8","89.25","0","88","0","-0.6","5.95","113","153","119","150","292","320","299"
"149",452254,"Hunter Pence","839","17.8","0.388","0.415","0.313","0.803","0.492","0.449","0.385","57","147","92.2","10.0","2260","87.3","86.84","0","149","0","-0.5","5.91","107","149","118","145","302","321","295"
"239",641355,"Cody Bellinger","1380","17.3","0.424","0.432","0.344","0.856","0.530","0.537","0.438","100","236","92.1","15.7","2178","89.5","89.38","0","239","0","-0.1","6.04","114","153","126","155","303","327","307"
"230",502054,"Tommy Pham","1345","17.1","0.367","0.227","0.330","0.594","0.407","0.419","0.371","84","229","92.1","4.2","2254","89.2","88.60","0","230","0","-0.6","5.91","107","152","117","147","304","327","293"
"201",547180,"Bryce Harper","1463","13.7","0.365","0.325","0.316","0.690","0.442","0.480","0.394","73","200","92.1","11.9","2160","88.6","88.33","0","201","0","-0.3","6.05","116","155","125","153","298","326","304"
"131",621566,"Matt Olson","874","15.0","0.351","0.443","0.261","0.794","0.478","0.522","0.382","46","131","92.1","19.4","2222","87.5","87.01","0","131","0","-0.5","5.92","116","170","130","151","298","327","303"
"116",519048,"Mitch Moreland","704","16.5","0.298","0.421","0.204","0.719","0.415","0.439","0.332","34","114","92.0","11.6","2215","89.5","89.04","0","116","0","-0.5","5.98","112","161","133","150","289","327","309"
"61",624415,"Cavan Biggio","505","12.1","0.367","0.317","0.304","0.683","0.436","0.456","0.370","22","60","91.9","20.0","2217","89.7","89.27","0","61","0","-0.4","5.92","115","150","117","150","288","327","304"
"226",502110,"J.D. Martinez","1168","19.3","0.366","0.308","0.311","0.674","0.435","0.490","0.394","82","224","91.9","14.3","2274","88.3","87.93","0","226","0","-0.4","5.96","106","151","121","146","297","329","304"
"23",598284,"Peter O'Brien","197","11.7","0.304","0.174","0.273","0.478","0.334","0.356","0.309","7","23","91.9","13.9","2222","87.4","86.59","0","23","0","-0.8","5.75","109","152","116","146","301","324","300"
"164",641531,"Hunter Dozier","936","17.5","0.385","0.360","0.325","0.745","0.466","0.434","0.365","62","161","91.9","15.1","2268","88.7","88.36","0","164","0","-0.3","5.95","108","151","117","146","304","327","301"
"86",628356,"Jung Ho Kang","567","15.2","0.235","0.282","0.175","0.518","0.310","0.380","0.313","20","85","91.9","11.2","2266","89.0","88.64","0","86","0","-0.4","5.94","108","150","118","145","302","322","295"
"24",605421,"Michael Perez","177","13.6","0.417","0.208","0.417","0.625","0.443","0.356","0.312","10","24","91.9","13.2","1984","87.7","87.18","0","24","0","-0.5","5.96","117","150","113","148","289","322","301"
"16",592680,"Yadiel Rivera","82","19.5","0.125","0.000","0.125","0.125","0.110","0.231","0.220","2","16","91.8","3.1","2232","90.2","89.99","0","16","0","-0.2","6.08","107","151","111","149","306","315","286"
"173",435622,"Ian Desmond","996","17.4","0.392","0.339","0.346","0.731","0.467","0.464","0.400","67","171","91.8","7.6","2246","88.3","88.14","0","173","0","-0.2","5.92","109","149","115","147","315","332","299"
"201",460075,"Ryan Braun","1045","19.2","0.363","0.249","0.323","0.612","0.414","0.407","0.348","73","201","91.8","6.6","2218","90.3","90.08","0","201","0","-0.2","6.11","107","151","117","147","307","324","295"
"205",543685,"Anthony Rendon","1160","17.7","0.371","0.371","0.309","0.743","0.460","0.499","0.402","75","202","91.7","20.3","2210","90.4","90.21","0","205","0","-0.2","6.11","107","149","116","145","303","322","298"
"41",670541,"Yordan Alvarez","250","16.4","0.415","0.585","0.294","1.000","0.588","0.507","0.380","17","41","91.7","17.0","2137","89.9","89.77","0","41","0","-0.1","6.10","110","156","131","149","296","329","299"
"149",641857,"Ryan McMahon","969","15.4","0.362","0.215","0.331","0.577","0.400","0.387","0.337","54","149","91.7","10.8","2218","87.0","86.81","0","149","0","-0.2","5.89","115","150","118","150","301","330","312"
"146",592444,"JaCoby Jones","923","15.8","0.375","0.306","0.331","0.681","0.442","0.429","0.368","54","144","91.7","15.2","2262","88.6","88.11","0","146","0","-0.5","5.91","108","151","111","147","299","321","287"
"209",425783,"Shin-Soo Choo","1395","15.0","0.394","0.288","0.355","0.683","0.453","0.438","0.382","82","208","91.7","8.4","2252","88.5","88.00","0","209","0","-0.5","5.95","116","155","118","150","293","322","303"
"183",592626,"Joc Pederson","1045","17.5","0.302","0.396","0.215","0.698","0.414","0.392","0.328","55","182","91.7","14.9","2201","88.7","88.51","0","183","0","-0.2","5.99","121","156","120","155","303","326","305"
"34",543543,"Brad Miller","219","15.5","0.382","0.324","0.344","0.706","0.457","0.381","0.311","13","34","91.6","9.1","2295","89.6","89.07","0","34","0","-0.5","5.89","115","150","111","151","291","321","302"
"259",518934,"DJ LeMahieu","1220","21.2","0.396","0.220","0.362","0.616","0.426","0.401","0.366","101","255","91.5","6.9","2280","88.0","87.49","0","259","0","-0.5","5.91","111","152","117","150","308","320","282"
"19",665120,"Jared Walsh","141","13.5","0.421","0.105","0.421","0.526","0.409","0.425","0.388","8","19","91.5","12.7","2289","85.3","84.27","0","19","0","-1.0","5.60","114","148","125","150","290","321","297"
"155",543807,"George Springer","953","16.3","0.411","0.430","0.321","0.841","0.511","0.516","0.413","62","151","91.5","11.1","2264","88.6","88.08","0","155","0","-0.5","6.02","107","153","117","147","298","330","295"
"55",446263,"Lucas Duda","385","14.3","0.226","0.208","0.173","0.434","0.268","0.383","0.299","12","53","91.5","24.0","2167","89.5","89.29","0","55","0","-0.2","6.07","111","162","134","151","294","325","303"
"189",650490,"Yandy Diaz","1000","18.9","0.335","0.254","0.287","0.589","0.383","0.403","0.350","62","185","91.4","5.5","2237","87.3","86.64","0","189","0","-0.7","5.90","108","152","121","148","306","327","292"
"210",596019,"Francisco Lindor","1052","20.0","0.357","0.256","0.313","0.614","0.405","0.403","0.361","74","207","91.4","10.5","2184","89.4","89.10","0","210","0","-0.3","5.98","113","148","109","149","291","322","298"
"182",640457,"Austin Meadows","1154","15.8","0.401","0.313","0.359","0.714","0.470","0.452","0.382","73","182","91.4","17.1","2190","88.3","87.77","0","182","0","-0.5","5.94","116","149","120","151","290","325","302"
"139",650391,"Eloy Jimenez","849","16.4","0.370","0.333","0.302","0.703","0.449","0.418","0.345","51","138","91.4","9.6","2264","88.1","87.97","0","139","0","-0.1","6.08","106","152","117","145","302","326","297"
"195",518735,"Yasmani Grandal","1298","15.0","0.353","0.358","0.277","0.711","0.435","0.409","0.327","67","190","91.3","14.9","2200","88.8","88.50","0","195","0","-0.3","6.06","114","160","129","150","300","324","301"
"200",600524,"Renato Nunez","1217","16.4","0.320","0.315","0.261","0.635","0.401","0.410","0.327","64","200","91.3","18.7","2238","88.6","88.10","0","200","0","-0.5","5.93","107","150","118","146","297","323","292"
"194",572233,"Christian Walker","1271","15.3","0.376","0.325","0.328","0.701","0.454","0.477","0.383","73","194","91.3","15.3","2284","88.2","87.85","0","194","0","-0.3","5.94","110","152","118","147","311","330","300"
"226",457759,"Justin Turner","1216","18.6","0.369","0.185","0.336","0.554","0.388","0.436","0.383","82","222","91.3","16.2","2196","88.8","88.70","0","226","0","-0.1","6.03","108","151","118","146","305","325","298"
"256",455976,"Nick Markakis","1352","18.9","0.323","0.167","0.297","0.490","0.340","0.360","0.346","81","251","91.3","7.5","2214","88.7","88.43","0","256","0","-0.3","5.99","116","148","119","151","294","323","305"
"145",434778,"Kendrys Morales","833","17.4","0.229","0.069","0.217","0.299","0.226","0.364","0.322","33","144","91.3","9.6","2197","87.9","87.44","0","145","0","-0.5","5.97","115","164","134","151","298","325","301"
"215",624413,"Pete Alonso","1394","15.4","0.394","0.498","0.299","0.892","0.531","0.498","0.386","84","213","91.3","13.7","2191","89.3","88.93","0","215","0","-0.4","6.06","107","152","120","147","305","328","303"
"247",593428,"Xander Bogaerts","1463","16.9","0.374","0.296","0.328","0.671","0.434","0.402","0.350","91","243","91.2","13.0","2280","89.9","89.68","0","247","0","-0.2","6.08","108","151","119","146","293","326","297"
"105",571980,"Tyler Naquin","544","19.3","0.369","0.262","0.327","0.631","0.420","0.429","0.376","38","103","91.2","11.0","2218","88.3","87.92","0","105","0","-0.4","5.98","117","149","110","150","284","318","303"
"223",595879,"Javier Baez","1236","18.0","0.414","0.374","0.358","0.788","0.503","0.485","0.398","92","222","91.2","7.7","2301","87.9","87.50","0","223","0","-0.4","5.91","107","151","114","146","302","328","299"
"169",592669,"Hunter Renfroe","1041","16.2","0.351","0.512","0.241","0.863","0.501","0.430","0.332","59","168","91.1","19.1","2278","89.4","89.08","0","169","0","-0.3","5.98","108","152","119","145","305","331","303"
"243",660670,"Ronald Acuna Jr.","1629","14.9","0.387","0.288","0.335","0.675","0.450","0.486","0.401","94","243","91.1","15.0","2284","89.1","88.89","0","243","0","-0.2","6.00","109","152","116","146","312","329","299"
"173",503556,"Marwin Gonzalez","1009","17.1","0.341","0.220","0.305","0.561","0.383","0.415","0.360","59","173","91.1","10.5","2207","88.3","87.77","0","173","0","-0.5","5.99","113","150","117","149","296","321","294"
"31",591741,"Jose Osuna","191","16.2","0.452","0.516","0.370","0.968","0.593","0.501","0.371","14","31","91.1","14.2","2281","88.0","87.41","0","31","0","-0.6","5.84","108","152","116","146","305","321","294"
"211",545361,"Mike Trout","1453","14.5","0.388","0.411","0.312","0.799","0.492","0.535","0.415","81","209","91.1","20.2","2231","89.3","88.85","0","211","0","-0.5","5.98","104","152","120","145","313","331","302"
"97",641598,"Mitch Garver","654","14.8","0.412","0.464","0.329","0.876","0.539","0.442","0.348","40","97","91.1","15.1","2284","89.4","89.19","0","97","0","-0.2","6.10","105","150","118","144","301","321","289"
"211",596115,"Trevor Story","1348","15.7","0.414","0.357","0.361","0.771","0.497","0.427","0.370","87","210","91.1","17.1","2267","87.7","87.40","0","211","0","-0.3","5.86","108","152","118","146","313","335","304"
"28",663993,"Nate Lowe","163","17.2","0.370","0.074","0.357","0.444","0.341","0.474","0.448","10","27","91.0","17.5","2167","88.6","88.12","0","28","0","-0.5","5.97","120","156","124","151","302","333","311"
"206",624585,"Jorge Soler","1321","15.6","0.348","0.392","0.270","0.740","0.451","0.472","0.365","71","204","91.0","13.9","2294","88.1","87.68","0","206","0","-0.4","5.92","105","152","118","145","303","330","304"
"259",518692,"Freddie Freeman","1448","17.9","0.394","0.355","0.338","0.749","0.481","0.473","0.378","102","259","91.0","14.6","2223","89.9","89.60","0","259","0","-0.3","6.00","115","164","136","153","303","329","309"
"26",641829,"Jason Martin","163","16.0","0.346","0.077","0.346","0.423","0.333","0.431","0.388","9","26","91.0","5.6","2182","88.9","88.50","0","26","0","-0.4","5.96","112","146","106","151","286","315","293"
"240",596146,"Max Kepler","1161","20.7","0.326","0.322","0.262","0.648","0.403","0.383","0.336","77","236","91.0","18.3","2232","88.9","88.42","0","240","0","-0.5","6.00","116","151","116","150","294","322","297"
"89",572122,"Kyle Seager","534","16.7","0.307","0.227","0.262","0.534","0.352","0.398","0.327","27","88","91.0","21.4","2135","89.2","88.70","0","89","0","-0.5","5.86","115","159","124","151","288","315","300"
"23",666198,"Carter Kieboom","168","13.7","0.217","0.261","0.143","0.478","0.291","0.424","0.359","5","23","90.9","12.4","2208","87.9","87.72","0","23","0","-0.2","6.15","107","151","113","146","303","322","298"
"137",542454,"Danny Santana","748","18.3","0.425","0.328","0.375","0.754","0.486","0.452","0.401","57","134","90.8","13.4","2233","87.0","86.38","0","137","0","-0.6","5.86","108","146","107","147","292","321","299"
"231",592518,"Manny Machado","1264","18.3","0.362","0.284","0.308","0.646","0.423","0.399","0.341","83","229","90.8","14.8","2236","89.6","89.31","0","231","0","-0.3","6.03","110","152","119","147","310","330","301"
"170",664040,"Brandon Lowe","1167","14.6","0.438","0.391","0.381","0.828","0.530","0.480","0.377","74","169","90.8","18.5","2191","87.8","87.27","0","170","0","-0.5","5.94","112","150","118","148","290","323","302"
"172",429664,"Robinson Cano","814","21.1","0.285","0.169","0.268","0.453","0.314","0.365","0.330","49","172","90.8","6.2","2203","88.6","88.20","0","172","0","-0.4","6.05","114","156","129","151","298","326","308"
"1",502190,"Mike Leake","11","9.1","0.000","0.000","0.000","0.000","0.000","0.121","0.095","0","1","90.8","29.0","2089","92.9","92.77","0","1","0","-0.1","6.19","119","150","121","152","306","307","280"
"147",605204,"J.D. Davis","789","18.6","0.347","0.231","0.309","0.578","0.393","0.443","0.394","51","147","90.8","8.3","2243","87.8","87.37","0","147","0","-0.4","6.03","107","151","117","147","306","325","296"
"70",608596,"Tom Murphy","483","14.5","0.435","0.420","0.355","0.855","0.535","0.408","0.320","30","69","90.7","21.8","2215","87.8","87.26","0","70","0","-0.5","5.86","108","151","119","145","296","314","290"
"42",545358,"Max Stassi","247","17.0","0.262","0.071","0.244","0.333","0.258","0.316","0.302","11","42","90.7","8.1","2211","89.1","88.45","0","42","0","-0.7","5.91","105","153","118","147","293","326","290"
"6",623205,"Andrew Velazquez","61","9.8","0.167","0.167","0.167","0.333","0.208","0.290","0.239","1","6","90.7","27.5","1965","85.5","84.75","0","6","0","-0.8","5.67","119","157","129","152","282","321","297"
"163",642133,"Rowdy Tellez","994","16.4","0.329","0.329","0.262","0.658","0.410","0.449","0.369","53","161","90.7","14.9","2150","87.1","86.60","0","163","0","-0.5","5.93","115","162","129","153","294","328","305"
"164",457705,"Andrew McCutchen","1165","14.1","0.341","0.268","0.299","0.610","0.402","0.384","0.334","56","164","90.6","12.7","2243","90.5","90.27","0","164","0","-0.2","6.10","109","153","115","146","302","322","293"
"208",592663,"J.T. Realmuto","1223","17.0","0.346","0.229","0.308","0.576","0.386","0.434","0.383","71","205","90.6","12.2","2230","88.7","88.47","0","208","0","-0.2","6.10","108","152","117","146","304","323","294"
"152",668804,"Bryan Reynolds","843","18.0","0.470","0.258","0.445","0.728","0.507","0.432","0.410","71","151","90.6","9.5","2211","88.8","88.47","0","152","0","-0.3","5.99","111","152","113","150","297","322","297"
"58",592122,"Tyler Austin","518","11.2","0.362","0.431","0.275","0.793","0.482","0.493","0.355","21","58","90.6","10.8","2296","88.3","87.86","0","58","0","-0.4","5.84","109","152","117","146","305","326","295"
"114",641525,"Brandon Dixon","635","18.0","0.366","0.330","0.298","0.696","0.440","0.456","0.366","41","112","90.6","19.3","2238","87.9","87.61","0","114","0","-0.3","5.97","108","151","118","146","300","324","289"
"169",570482,"Gio Urshela","850","19.9","0.370","0.188","0.337","0.558","0.387","0.396","0.370","61","165","90.5","13.2","2303","87.5","87.10","0","169","0","-0.4","5.98","107","151","118","147","305","322","285"
"91",501896,"David Freese","559","16.3","0.407","0.374","0.349","0.780","0.499","0.440","0.365","37","91","90.5","9.3","2194","87.4","87.08","0","91","0","-0.3","5.96","109","150","119","147","305","322","294"
"261",605141,"Mookie Betts","1585","16.5","0.317","0.239","0.278","0.556","0.366","0.394","0.327","82","259","90.5","18.5","2244","88.6","88.13","0","261","0","-0.5","5.97","106","152","119","146","292","326","301"
"101",663586,"Austin Riley","633","16.0","0.426","0.475","0.341","0.901","0.555","0.533","0.417","43","101","90.5","20.3","2349","90.3","90.16","0","101","0","-0.1","6.02","107","151","118","146","314","330","301"
"170",475253,"Justin Smoak","1105","15.4","0.290","0.249","0.234","0.538","0.348","0.441","0.354","49","169","90.5","17.8","2186","88.9","88.43","0","170","0","-0.5","5.98","110","165","131","152","301","331","303"
"82",572041,"A.J. Pollock","415","19.8","0.288","0.138","0.263","0.425","0.297","0.366","0.339","23","80","90.5","12.0","2253","88.4","88.30","0","82","0","-0.1","6.03","104","150","114","144","304","323","301"
