"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1",504379,"Juan Nicasio","10","10.0","0.000","0.000","0.000","0.000","0.000","0.258","0.295","0","1","105.5","-13.0","2150","94.1","94.90","0","1","0","0.8","6.34","116","152","116","143","283","310","293"
"1",429719,"Edwin Jackson","17","5.9","0.000","0.000","0.000","0.000","0.000","0.552","0.618","0","1","104.3","4.0","2730","86.5","86.42","0","1","0","-0.1","5.60","112","148","117","148","299","317","274"
"3",573135,"Tyler Saladino","18","16.7","0.000","0.000","0.000","0.000","0.000","0.316","0.343","0","3","103.5","20.0","2778","89.3","89.30","0","3","0","0.0","6.36","96","150","123","146","312","327","289"
"1",605538,"Matt Wisler","2","50.0","0.000","0.000","0.000","0.000","0.000","0.173","0.173","0","1","100.7","-16.0","2226","94.7","93.81","0","1","0","-0.9","5.42","127","154","112","148","304","321","292"
"3",571679,"David Freitas","12","25.0","0.000","0.000","0.000","0.000","0.000","0.389","0.324","0","2","99.9","21.7","2333","92.7","92.09","0","3","0","-0.6","6.10","108","136","109","134","296","314","281"
"1",664774,"LaMonte Wade Jr","4","25.0","0.000","0.000","0.000","0.000","0.000","0.833","0.874","0","1","98.5","13.0","1875","77.3","75.30","0","1","0","-2.0","4.61","95","143","88","148","281","313","296"
"2",517369,"Jose Pirela","19","10.5","0.000","0.000","0.000","0.000","0.000","0.131","0.156","0","2","98.0","18.5","2031","90.7","89.24","0","2","0","-1.5","5.51","87","146","121","144","294","319","297"
"2",664062,"Tony Gonsolin","5","40.0","0.500","0.000","0.500","0.500","0.440","0.406","0.398","1","2","97.5","17.0","2317","93.8","93.51","0","2","0","-0.3","6.08","107","152","115","154","296","322","284"
"60",592450,"Aaron Judge","465","12.9","0.441","0.339","0.370","0.780","0.509","0.576","0.459","26","59","97.4","10.9","2307","90.4","89.72","0","60","0","-0.7","5.84","109","155","124","148","313","331","292"
"1",658792,"Aaron Wilkerson","3","33.3","1.000","3.000","null","4.000","2.031","0.624","0.382","1","1","97.0","27.0","1914","91.1","92.18","0","1","0","1.1","6.70","89","146","110","149","280","294","261"
"1",553878,"Felipe Vazquez","1","100.0","0.000","0.000","0.000","0.000","0.000","0.193","0.218","0","1","97.0","-15.0","2546","92.0","92.18","0","1","0","0.2","6.06","124","149","113","147","289","297","296"
"18",519317,"Giancarlo Stanton","175","10.3","0.500","0.222","0.471","0.722","0.524","0.487","0.418","9","18","96.5","3.2","2418","87.3","86.57","0","18","0","-0.7","5.80","107","155","124","147","313","326","294"
"6",595222,"Mike Gerber","63","9.5","0.167","0.167","0.167","0.333","0.208","0.387","0.362","1","6","96.3","9.2","2121","87.9","87.37","0","6","0","-0.5","5.93","127","150","110","148","276","317","290"
"1",571510,"Matthew Boyd","6","16.7","1.000","0.000","1.000","1.000","0.880","0.486","0.526","1","1","96.0","3.0","2584","79.7","79.04","0","1","0","-0.7","5.70","121","152","120","153","293","309","278"
"1",433587,"Felix Hernandez","10","10.0","0.000","0.000","0.000","0.000","0.000","0.154","0.176","0","1","95.9","-18.0","2238","93.6","94.31","0","1","0","0.7","6.75","130","154","115","151","290","291","269"
"103",608336,"Joey Gallo","1011","10.2","0.500","0.696","0.381","1.196","0.698","0.689","0.461","51","102","95.9","21.0","2296","87.7","86.99","0","103","0","-0.7","5.91","117","165","137","155","307","331","306"
"3",641851,"Kyle McGowin","5","60.0","0.333","0.000","0.333","0.333","0.293","0.292","0.301","1","3","95.8","11.0","2067","90.1","90.10","0","3","0","0.0","6.11","119","152","110","152","296","308","279"
"5",592660,"Rangel Ravelo","27","18.5","0.200","0.000","0.200","0.200","0.176","0.431","0.464","1","5","95.7","-2.2","2312","86.2","87.01","0","5","0","0.8","6.46","102","151","122","151","315","334","306"
"1",572140,"Tyler Skaggs","15","6.7","0.000","0.000","0.000","0.000","0.000","0.077","0.079","0","1","95.6","-36.0","2111","91.6","92.34","0","1","0","0.7","6.55","127","148","114","152","281","294","297"
"2",642607,"Dario Agrazal","7","28.6","0.000","0.000","0.000","0.000","0.000","0.103","0.104","0","2","95.6","-32.0","2000","93.0","93.94","0","2","0","0.9","6.75","97","126","98","129","291","306","266"
"2",621141,"Walker Lockett","15","13.3","0.500","0.000","0.500","0.500","0.440","0.574","0.532","1","2","95.2","28.0","2122","90.9","90.94","0","2","0","0.0","6.12","100","144","100","147","282","310","266"
"1",622075,"Yency Almonte","3","33.3","0.000","0.000","0.000","0.000","0.000","0.506","0.442","0","1","95.1","17.0","2546","94.7","94.81","0","1","0","0.1","6.00","117","159","108","149","298","313","278"
"3",641924,"Jacob Nottingham","26","11.5","0.667","1.000","0.500","1.667","0.970","0.327","0.282","2","3","95.0","26.7","2620","87.5","86.54","0","3","0","-1.0","5.41","113","152","113","151","317","327","288"
"39",605233,"Derek Fisher","228","17.1","0.308","0.179","0.289","0.487","0.337","0.406","0.375","12","39","94.8","6.7","2162","88.0","87.39","0","39","0","-0.6","5.85","113","145","102","150","288","321","297"
"3",621532,"Anthony Bemboom","17","17.6","0.667","0.333","0.667","1.000","0.709","0.442","0.362","2","3","94.7","19.7","2130","93.2","91.95","0","3","0","-1.2","5.66","110","160","114","149","278","332","313"
"5",547179,"Michael Lorenzen","43","11.6","0.400","0.200","0.400","0.600","0.425","0.355","0.315","2","5","94.3","10.6","2276","89.2","88.99","0","5","0","-0.2","6.04","101","148","114","143","299","309","282"
"224",592885,"Christian Yelich","1232","18.2","0.421","0.484","0.328","0.905","0.547","0.514","0.404","93","221","94.0","11.6","2186","89.3","89.16","0","224","0","-0.1","6.14","116","149","120","151","297","322","305"
"1",489119,"Wade Miley","8","12.5","0.000","0.000","0.000","0.000","0.000","0.011","0.049","0","1","93.8","-31.0","2150","95.4","94.10","0","1","0","-1.3","5.45","132","148","117","147","262","291","271"
